BM11001;BM CATALYSTS;299,5
BM11001H;BM CATALYSTS;299,5
BM11002;BM CATALYSTS;280
BM11002H;BM CATALYSTS;280
BM11003;BM CATALYSTS;436
BM11003H;BM CATALYSTS;436
BM11004;BM CATALYSTS;347,86
BM11004H;BM CATALYSTS;347,86
BM11005;BM CATALYSTS;475,468
BM11005H;BM CATALYSTS;475,468
BM11006;BM CATALYSTS;365,8
BM11006H;BM CATALYSTS;365,8
BM11007;BM CATALYSTS;299,5
BM11007H;BM CATALYSTS;299,5
BM11009;BM CATALYSTS;268,9
BM11009H;BM CATALYSTS;268,9
BM11010;BM CATALYSTS;269,845
BM11010H;BM CATALYSTS;269,845
BM11011;BM CATALYSTS;320,96
BM11011H;BM CATALYSTS;320,96
BM11012;BM CATALYSTS;272,2804
BM11012H;BM CATALYSTS;272,2804
BM11013;BM CATALYSTS;447
BM11013H;BM CATALYSTS;447
BM11014;BM CATALYSTS;527,26
BM11014H;BM CATALYSTS;527,26
BM11015;BM CATALYSTS;601
BM11015H;BM CATALYSTS;601
BM11023;BM CATALYSTS;728
BM11023H;BM CATALYSTS;728
BM11027;BM CATALYSTS;494,6
BM11027H;BM CATALYSTS;494,6
BM50001;BM CATALYSTS;14,04
BM50002;BM CATALYSTS;13,5
BM50005;BM CATALYSTS;19,5
BM50007;BM CATALYSTS;39,68
BM50008;BM CATALYSTS;17,145
BM50009;BM CATALYSTS;20,8
BM50010;BM CATALYSTS;72,9
BM50011;BM CATALYSTS;68,175
BM50012;BM CATALYSTS;59,8
BM50013;BM CATALYSTS;21,816
BM50014;BM CATALYSTS;39,474
BM50015;BM CATALYSTS;25,974
BM50016;BM CATALYSTS;45,9
BM50017;BM CATALYSTS;26,52
BM50018;BM CATALYSTS;22,68
BM50020;BM CATALYSTS;40,18
BM50021;BM CATALYSTS;42,874
BM50023;BM CATALYSTS;16,9
BM50025;BM CATALYSTS;43,45
BM50026;BM CATALYSTS;40,77
BM50027;BM CATALYSTS;25,92
BM50028;BM CATALYSTS;56,74
BM50029;BM CATALYSTS;59,18
BM50030;BM CATALYSTS;14,85
BM50031;BM CATALYSTS;25,65
BM50032;BM CATALYSTS;28,6
BM50033;BM CATALYSTS;18,765
BM50034;BM CATALYSTS;11,61
BM50035;BM CATALYSTS;14,04
BM50036;BM CATALYSTS;16,2
BM50037;BM CATALYSTS;17,55
BM50038;BM CATALYSTS;26,46
BM50039;BM CATALYSTS;18,09
BM50040;BM CATALYSTS;14,04
BM50041;BM CATALYSTS;16,74
BM50042;BM CATALYSTS;34,29
BM50045;BM CATALYSTS;14,04
BM50048;BM CATALYSTS;39,15
BM50049;BM CATALYSTS;45,36
BM50050;BM CATALYSTS;11,88
BM50051;BM CATALYSTS;49,437
BM50055;BM CATALYSTS;67,824
BM50056;BM CATALYSTS;54,216
BM50057;BM CATALYSTS;27,945
BM50058;BM CATALYSTS;35,802
BM50059;BM CATALYSTS;49,4
BM50060;BM CATALYSTS;29,06
BM50063;BM CATALYSTS;66,82
BM50068;BM CATALYSTS;78
BM50070;BM CATALYSTS;71,22
BM50076;BM CATALYSTS;27,756
BM50077;BM CATALYSTS;38,74
BM50079;BM CATALYSTS;59,6
BM50083;BM CATALYSTS;67,548
BM50084;BM CATALYSTS;42,88
BM50085;BM CATALYSTS;41,626
BM50086;BM CATALYSTS;32,06
BM50087;BM CATALYSTS;46,774
BM50088;BM CATALYSTS;33,9
BM50089;BM CATALYSTS;30,42
BM50090;BM CATALYSTS;36,374
BM50091;BM CATALYSTS;19,08
BM50092;BM CATALYSTS;39,104
BM50093;BM CATALYSTS;42,822
BM50098;BM CATALYSTS;50,814
BM50101;BM CATALYSTS;46,774
BM50102;BM CATALYSTS;43,55
BM50104;BM CATALYSTS;38,974
BM50105;BM CATALYSTS;73,424
BM50106;BM CATALYSTS;89,96
BM50107;BM CATALYSTS;78,975
BM50108;BM CATALYSTS;52
BM50109;BM CATALYSTS;52
BM50110;BM CATALYSTS;46,8
BM50111;BM CATALYSTS;61
BM50112;BM CATALYSTS;65
BM50113;BM CATALYSTS;60,6
BM50114;BM CATALYSTS;58
BM50115;BM CATALYSTS;58
BM50116;BM CATALYSTS;58
BM50117;BM CATALYSTS;88,4
BM50118;BM CATALYSTS;58,6
BM50119;BM CATALYSTS;58,8
BM50120;BM CATALYSTS;58
BM50121;BM CATALYSTS;64
BM50122;BM CATALYSTS;60
BM50124;BM CATALYSTS;21,4
BM50141;BM CATALYSTS;85,93
BM50143;BM CATALYSTS;94,38
BM70001;BM CATALYSTS;33,19
BM70002;BM CATALYSTS;47,5
BM70004;BM CATALYSTS;38,08
BM70006;BM CATALYSTS;53,92
BM70007;BM CATALYSTS;83,916
BM70008;BM CATALYSTS;43,99
BM70009;BM CATALYSTS;76,363
BM70010;BM CATALYSTS;80,62
BM70011;BM CATALYSTS;57,294
BM70012;BM CATALYSTS;55,512
BM70013;BM CATALYSTS;52,65
BM70014;BM CATALYSTS;47,25
BM70021;BM CATALYSTS;48,6
BM70023;BM CATALYSTS;61
BM70025;BM CATALYSTS;59,65
BM70029;BM CATALYSTS;24,84
BM70031;BM CATALYSTS;39,15
BM70033;BM CATALYSTS;44,415
BM70034;BM CATALYSTS;75,58
BM70035;BM CATALYSTS;47,25
BM70037;BM CATALYSTS;98,962
BM70038;BM CATALYSTS;63,7
BM70040;BM CATALYSTS;28,35
BM70041;BM CATALYSTS;44,226
BM70043;BM CATALYSTS;38,556
BM70045;BM CATALYSTS;68,516
BM70046;BM CATALYSTS;70,2
BM70047;BM CATALYSTS;57,128
BM70048;BM CATALYSTS;79,32
BM70049;BM CATALYSTS;70,88
BM70052;BM CATALYSTS;48,06
BM70053;BM CATALYSTS;52,65
BM70060;BM CATALYSTS;44,52
BM70061;BM CATALYSTS;55,6
BM70062;BM CATALYSTS;58,3
BM70063;BM CATALYSTS;31,3
BM70064;BM CATALYSTS;37,8
BM70065;BM CATALYSTS;47,25
BM70066;BM CATALYSTS;53,953
BM70067;BM CATALYSTS;56,7
BM70068;BM CATALYSTS;46,71
BM70069;BM CATALYSTS;60,345
BM70070;BM CATALYSTS;97,376
BM70071;BM CATALYSTS;140,832
BM70072;BM CATALYSTS;35,1
BM70073;BM CATALYSTS;40,64
BM70074;BM CATALYSTS;34,02
BM70077;BM CATALYSTS;73,15
BM70078;BM CATALYSTS;39,13
BM70079;BM CATALYSTS;60,76
BM70080;BM CATALYSTS;59,65
BM70081;BM CATALYSTS;40,5
BM70084;BM CATALYSTS;93,502
BM70086;BM CATALYSTS;58,05
BM70089;BM CATALYSTS;47,36
BM70090;BM CATALYSTS;58,3
BM70091;BM CATALYSTS;38,584
BM70093;BM CATALYSTS;42,9
BM70094;BM CATALYSTS;50,16
BM70095;BM CATALYSTS;14,85
BM70096;BM CATALYSTS;70,2
BM70097;BM CATALYSTS;59,82
BM70098;BM CATALYSTS;76,957
BM70099;BM CATALYSTS;64,24
BM70100;BM CATALYSTS;59,623
BM70101;BM CATALYSTS;40,56
BM70102;BM CATALYSTS;55
BM70105;BM CATALYSTS;44,83
BM70106;BM CATALYSTS;64,98
BM70107;BM CATALYSTS;26,035
BM70108;BM CATALYSTS;66,832
BM70111;BM CATALYSTS;14,85
BM70112;BM CATALYSTS;56,94
BM70114;BM CATALYSTS;47,743
BM70115;BM CATALYSTS;34,506
BM70116;BM CATALYSTS;74,626
BM70117;BM CATALYSTS;78,55
BM70118;BM CATALYSTS;44,2
BM70119;BM CATALYSTS;44,2
BM70120;BM CATALYSTS;49,3
BM70121;BM CATALYSTS;45,9
BM70122;BM CATALYSTS;80
BM70123;BM CATALYSTS;70,963
BM70124;BM CATALYSTS;35,1
BM70127;BM CATALYSTS;67,14
BM70128;BM CATALYSTS;51,759
BM70129;BM CATALYSTS;49,95
BM70130;BM CATALYSTS;54,4
BM70131;BM CATALYSTS;58,05
BM70134;BM CATALYSTS;51,376
BM70135;BM CATALYSTS;58,05
BM70137;BM CATALYSTS;51,894
BM70138;BM CATALYSTS;134,271
BM70140;BM CATALYSTS;46,44
BM70141;BM CATALYSTS;68,56
BM70142;BM CATALYSTS;81,12
BM70143;BM CATALYSTS;118,584
BM70144;BM CATALYSTS;98
BM70145;BM CATALYSTS;33,46
BM70147;BM CATALYSTS;45,144
BM70149;BM CATALYSTS;63,74
BM70151;BM CATALYSTS;58,05
BM70152;BM CATALYSTS;55,96
BM70154;BM CATALYSTS;88,4
BM70155;BM CATALYSTS;44,26
BM70156;BM CATALYSTS;71,896
BM70157;BM CATALYSTS;59,514
BM70160;BM CATALYSTS;65,572
BM70162;BM CATALYSTS;51,3
BM70163;BM CATALYSTS;59,184
BM70164;BM CATALYSTS;84,112
BM70165;BM CATALYSTS;54
BM70166;BM CATALYSTS;51
BM70168;BM CATALYSTS;58,05
BM70169;BM CATALYSTS;61,209
BM70170;BM CATALYSTS;34,04
BM70171;BM CATALYSTS;69,829
BM70172;BM CATALYSTS;42,1
BM70174;BM CATALYSTS;41,283
BM70175;BM CATALYSTS;76,572
BM70176;BM CATALYSTS;46,91
BM70179;BM CATALYSTS;72,68
BM70180;BM CATALYSTS;80,17
BM70181;BM CATALYSTS;101,844
BM70182;BM CATALYSTS;55,6
BM70184;BM CATALYSTS;71,226
BM70186;BM CATALYSTS;90,639
BM70187;BM CATALYSTS;91,962
BM70188;BM CATALYSTS;82,92
BM70189;BM CATALYSTS;39,906
BM70190;BM CATALYSTS;79
BM70191;BM CATALYSTS;59,65
BM70192;BM CATALYSTS;83,95
BM70194;BM CATALYSTS;58,293
BM70195;BM CATALYSTS;79,704
BM70196;BM CATALYSTS;58,05
BM70197;BM CATALYSTS;33,156
BM70199;BM CATALYSTS;62,9
BM70203;BM CATALYSTS;67,138
BM70204;BM CATALYSTS;47,088
BM70205;BM CATALYSTS;49,764
BM70206;BM CATALYSTS;77,2
BM70207;BM CATALYSTS;59,14
BM70209;BM CATALYSTS;22,36
BM70210;BM CATALYSTS;81,12
BM70212;BM CATALYSTS;59,427
BM70214;BM CATALYSTS;80,298
BM70215;BM CATALYSTS;94,614
BM70218;BM CATALYSTS;110,656
BM70219;BM CATALYSTS;35,1
BM70220;BM CATALYSTS;79,056
BM70221;BM CATALYSTS;51,705
BM70222;BM CATALYSTS;19,44
BM70225;BM CATALYSTS;84,375
BM70226;BM CATALYSTS;84,564
BM70227;BM CATALYSTS;41,6
BM70228;BM CATALYSTS;76,68
BM70230;BM CATALYSTS;114,614
BM70231;BM CATALYSTS;72,8
BM70232;BM CATALYSTS;62,4
BM70233;BM CATALYSTS;67,581
BM70234;BM CATALYSTS;28,755
BM70235;BM CATALYSTS;104,328
BM70236;BM CATALYSTS;74,385
BM70237;BM CATALYSTS;36,45
